Textos_espanol,sdg
" Han examinado la contribuciÃ³n de las universidades y las instituciones de educaciÃ³n terciaria al desarrollo del capital humano y las competencias, la transferencia de tecnologÃa y la innovaciÃ³n empresarial, el desarrollo social, cultural y medioambiental, y la creaciÃ³n de capacidad regional. El proceso de revisiÃ³n ha facilitado la creaciÃ³n de asociaciones en ciudades y regiones al reunir a instituciones de educaciÃ³n terciaria y organismos pÃºblicos y privados para identificar objetivos estratÃ©gicos y trabajar juntos para alcanzarlos. Complementa las revisiones que se han llevado a cabo en la región transfronteriza México-Estados Unidos, de gran importancia estratégica y económica, como las de Nuevo León, la región Paso del Norte y, más recientemente, la del sur de Arizona (2011), junto al estado de Sonora. ",4
"En la última década, y en particular desde 2010, el número de altas per cápita ha tendido a disminuir, y ahora está en línea con la media de la OCDE mencionada anteriormente. Por ejemplo, los habitantes de zonas rurales representan el 43% de la población, pero sólo el 32% de las altas hospitalarias. A falta de información complementaria, no es posible determinar si esta diferencia indica o no disparidades en el acceso de las poblaciones rurales y, en caso afirmativo, si las causas son geográficas, culturales o infraestructurales. No parece que se recojan datos sobre el acceso a la atención desde el punto de vista del paciente, lo que ayudaría a comprender la naturaleza de los obstáculos al acceso (y las soluciones). En general, no es posible determinar con los datos disponibles si los ingresos o las características socioeconómicas de los pacientes influyen a la hora de llegar a las puertas del hospital o de ser ingresado. El acceso desigual probablemente se deba también a la incapacidad de los centros de las distintas regiones para prestar los mismos servicios. ",3
"¿En qué países los estudiantes de alto rendimiento se sienten atraídos por la docencia? Las encuestas de docentes en servicio a menudo muestran que los maestros actuales están muy motivados por los beneficios intrínsecos de la enseñanza: trabajar con niños y ayudarlos a desarrollarse y hacer una contribución a la sociedad, mientras que los estudios que encuestan a grandes grupos de graduados sobre sus opciones de carrera muestran que la los salarios relativos de las ocupaciones de los graduados juegan un papel en sus elecciones: si los salarios de los docentes hubieran sido más altos, más ""docentes potenciales"" habrían considerado seriamente una carrera en la enseñanza. A nivel de país, los resultados indican que tanto los salarios de los docentes como la estatus social de la profesión docente se asocian positivamente con las expectativas de los estudiantes de trabajar como docentes.",4
"A raíz de su preocupación por el hecho de que los médicos de todo el sistema sanitario japonés no fueran capaces de identificar los signos de sufrimiento psicológico que podrían ayudar a reducir los suicidios, la Asociación Médica Japonesa informa de que empezó a compartir información y orientaciones sobre la depresión con todos los médicos, primero en 2004 y luego de nuevo en 2009. En la actualidad, sólo se recogen indicadores sobre la tasa de reclusión y contención, y de ingresos involuntarios, por parte de los proveedores y a nivel prefectural. La información recopilada sistemáticamente sobre el sistema de atención de salud mental se limita a indicadores estructurales: instalaciones, número de personal, número de camas. ",3
"1999|H5|, Ares Abalde, 2014[ij]. El pequeño número de estudiantes y docentes en estas escuelas da forma a las formas en que las escuelas pueden utilizar el tiempo de docentes y alumnos, y cómo estos se agrupan por grados y habilidades (Mulcahy, 2009[ii6i). Los padres pueden estar preocupados por el hecho de que sus hijos aprendan junto con niños de diferentes edades en el mismo salón de clases (Cornish, 2006[ii7j), pero la investigación sugiere que la enseñanza multigrado no es necesariamente menos efectiva que en clases de edades específicas.",4
"A continuación, se propone una síntesis de país con el fin de resaltar la coherencia de la política nacional en la materia. Dicha coherencia se construye sobre la fuerza de las asociaciones que existen entre los Niveles 2, 3 y 4. La siguiente tabla resume el contenido de las recomendaciones y especifica si existe un diploma relacionado con el campo de los usos de las TIC en la educación. El caso de cada país se describe específicamente en los siguientes párrafos.",4
"A diferencia de los acuerdos anteriores, la nueva normativa no estipula la cantidad de tiempo que debe utilizarse para distintos fines, como la enseÃ±anza y la preparaciÃ³n. Las decisiones sobre el uso del tiempo de los profesores y el lugar de trabajo recaen ahora en la direcciÃ³n del centro y se espera que los profesores trabajen de forma diferente. En 35 sistemas, el tiempo de enseÃ±anza se especifica contractualmente.",4
"Por ejemplo, los servicios de urgencias tienen que prestar asistencia aunque ya se hayan cubierto las cuotas anuales de determinados servicios, por lo que el número de casos de este tipo puede proporcionar alguna indicación de si las cuotas se han fijado adecuadamente. El origen y destino final de los pacientes también puede proporcionar una indicación de si la capacidad en los distintos niveles de atención es adecuada, tanto en términos de acceso como de calidad de la atención. En 2013, había 3,1 médicos en ejercicio por cada 1 000 habitantes, cerca de la media de la OCDE de 3,2, y un ligero aumento con respecto a 2000, cuando había 2,9 médicos en ejercicio por cada 1 000 habitantes en Letonia. ",3
"A lo largo de diez años cerraron escuelas especiales y destinaron los recursos al sistema general. No obstante, reconoce que no siempre se trata a las personas como iguales y que los jóvenes con discapacidad sufren discriminación y desventajas. El Consejo cree que la educación especial segregada es un factor importante de discriminación. ",4
"A medida que se implemente la nueva estructura de carrera, será crucial que el proceso de certificación establecido envíe señales claras de rigor para identificar tanto el buen desempeño en las diferentes etapas de la carrera como el bajo desempeño como docente. Un tema importante será resolver la duplicidad actual entre el proceso de certificación asociado a la estructura de carrera y el sistema de evaluación del desempeño docente. Para aprovechar el carácter continuo del sistema de evaluación del desempeño docente y atender la necesidad de que los docentes demuestren continuamente su idoneidad para la profesión en los diferentes niveles de la estructura de la carrera, podría considerarse la introducción del requisito de recertificación en determinada etapa de la carrera.",4
"Además, el seguimiento y planificación de la red escolar es limitado. Hay bastantes escuelas muy pequeñas con clases pequeñas que no ofrecen una rica experiencia de aprendizaje a los estudiantes. Esta situación surge porque no se ha realizado una revisión de la red escolar para evaluar la necesidad de alguna reorganización de la oferta educativa local y no se han desarrollado estrategias importantes de transporte escolar.",4
"Cada vez se reconocen más las repercusiones de un medio ambiente degradado sobre la salud y su reducción se considera uno de los principales objetivos de la política, los programas y la normativa de protección medioambiental. Se ha avanzado en el control de la calidad de los principales medios ambientales y en la vigilancia de las enfermedades infecciosas. Se ha reforzado la capacidad profesional en materia de salud pública y medioambiental con métodos avanzados de vigilancia sanitaria y evaluación de riesgos. ",3
"Formulario único de recogida de datos - Datos agregados). Una estancia de más de 24 horas se considera una lesión grave, y menos, una lesión leve. Sin embargo, desde 2010, la ANSV está trabajando con el Ministerio de Salud de la Nación para vincular los registros hospitalarios y los datos del Formulario Naranja. Este proyecto de vinculación se inició como piloto en dos de las provincias más pobladas de Argentina, con el fin de recopilar datos basados en el MAIS 3. ",3
"El principal instrumento de medición, el Adult Mental Health Benchmarking Toolkit, presenta indicadores de resultados en formato de cuadro de mando, combinando indicadores estructurales, de proceso y de resultados. Por lo general, se entiende que los trastornos leves a moderados (como la depresión y la ansiedad) no requieren tratamientos altamente especializados administrados por psiquiatras o en régimen de hospitalización en la gran mayoría de los casos. Por el contrario, requieren una sólida atención primaria y comunitaria. Aunque la atención primaria es, en la inmensa mayoría de los casos, el primer punto al que acuden las personas que sufren trastornos mentales, los médicos de atención primaria no siempre disponen de las competencias y opciones de tratamiento adecuadas para responder eficazmente a las necesidades. ",3
"Los esfuerzos deben centrarse en abordar las desigualdades en el acceso a los servicios sanitarios -entre regiones, asÃ como entre ciudades y zonas rurales- teniendo en cuenta la geografÃa del paÃs y la baja densidad de poblaciÃ³n en la planificaciÃ³n de la prestaciÃ³n sanitaria. Las redes de instalaciones a todos los niveles deberÃan reorganizarse de forma compatible con los nuevos modelos de prestaciÃ³n de servicios y en apoyo de los mismos, y ajustarse a las tendencias demogrÃ¡ficas y los patrones de acceso. Para este ejercicio, un punto de partida podrÃan ser los planes maestros de prestaciÃ³n de servicios desarrollados en los Ãºltimos aÃ±os. ",3
"Incluso en los países de la OCDE considerados con una atención primaria fuerte, como el Reino Unido, Australia y Nueva Zelanda, una gran proporción de médicos sigue trabajando en solitario. En Israel, un consultorio medio de atención primaria cuenta con el equivalente a 3,4 médicos generalistas, 2,6 enfermeras, 1,5 auxiliares y la mayoría tiene un director de consulta. En los últimos años, el Reino Unido, Australia, Francia y Suiza han modificado la financiación o proporcionado pagos adicionales a los médicos de cabecera para intentar dar prioridad a estos servicios, pero han tenido un éxito limitado a la hora de impulsar un cambio en todo el sistema. ",3
"Además, los alumnos de los cursos 9º y 10º tienen una tarea de proyecto obligatoria que les da la oportunidad de completar y presentar un proyecto interdisciplinar. El proyecto se evalúa mediante una declaración escrita basada en el contenido, el proceso de trabajo y la presentación del trabajo final. La evaluación del proyecto se puede indicar en el certificado de fin de estudios. ",4
"Al abordar este desafío político, los REA pueden actuar contra los “silos de conocimiento” (Plotkin, 2010:5), independientemente de si estos se derivan de las diferencias entre las instituciones educativas, los países o los entornos de aprendizaje formales, informales y no formales. En cada caso, el intercambio de recursos hecho posible por REA es más valioso cuando los recursos se liberan como REA completos que permiten no solo reutilizar sino también remezclar y reutilizar.",4
"Sin embargo, la prevalencia de niños de 0 a 6 meses con bajo peso aumentó del 6,9% en 2005 al 8,4% en 2010. En 2014, el bajo peso al nacer era más frecuente en las zonas rurales (sobre todo en la región occidental, con un 6,6%) que en las urbanas (3,8% en Ulán Bator). En 1997, el Gobierno aprobó una primera lista de productos químicos tóxicos y peligrosos prohibidos y de uso limitado. ",3
